threshold_scale,active_threshold,window_size,min_votes,accuracy,precision,recall,f1
0.9,0.00019115922259516083,7,2,0.525675,0.5133699586012966,0.98585,0.675158799458969
0.9,0.00019115922259516083,7,3,0.57625,0.5458950282893945,0.90695,0.6815585781919291
0.9,0.00019115922259516083,7,4,0.6151,0.5989681857265692,0.6966,0.6441054091539529
0.9,0.00019115922259516083,7,5,0.60205,0.675948275862069,0.39205,0.49626582278481013
0.9,0.00019115922259516083,7,6,0.546,0.753723110865968,0.13665,0.2313552865487175
0.9,0.00019115922259516083,7,7,0.50805,0.8259109311740891,0.0204,0.03981653166780521
0.95,0.0002017791794060031,1,1,0.8752,0.852565307273069,0.9073,0.8790814843522915
0.95,0.0002017791794060031,3,1,0.582075,0.5456669912366114,0.9807,0.701188667441237
0.95,0.0002017791794060031,3,2,0.68515,0.6684713375796179,0.73465,0.7
0.95,0.0002017791794060031,3,3,0.603825,0.8503458748101906,0.252,0.38878389323870866
0.95,0.0002017791794060031,5,1,0.517175,0.5087768607711373,0.9956,0.6734193482929469
0.95,0.0002017791794060031,5,2,0.58155,0.5479254818993888,0.93235,0.6902206100088836
0.95,0.0002017791794060031,5,3,0.639775,0.6245156117767583,0.70105,0.6605733669407081
0.95,0.0002017791794060031,5,4,0.60795,0.7348270611268218,0.3378,0.4628348290744674
0.95,0.0002017791794060031,5,5,0.528,0.8491271820448878,0.0681,0.1260877615256434
0.95,0.0002017791794060031,7,1,0.504175,0.5020984644768918,0.99895,0.6682945593818468
0.95,0.0002017791794060031,7,2,0.527025,0.5141141141141141,0.9844,0.6754610172399005
0.95,0.0002017791794060031,7,3,0.57805,0.5473920699496023,0.9015,0.6811742037855605
0.95,0.0002017791794060031,7,4,0.615875,0.6015245104481535,0.68655,0.6412309991360591
0.95,0.0002017791794060031,7,5,0.60105,0.6792302234835048,0.38295,0.48976851259751886
0.95,0.0002017791794060031,7,6,0.544375,0.7601876282615069,0.12965,0.2215197983853744
0.95,0.0002017791794060031,7,7,0.50755,0.8400900900900901,0.01865,0.03648992369399335
1.0,0.00021239913621684536,1,1,0.847375,0.8486125746399719,0.8456,0.8471036089058078
1.0,0.00021239913621684536,3,1,0.588075,0.5504164400812845,0.96155,0.7000855494275469
1.0,0.00021239913621684536,3,2,0.6715,0.6713115572869843,0.67205,0.6716805756833741
1.0,0.00021239913621684536,3,3,0.58275,0.8429341069208455,0.2034,0.32772093772657696
1.0,0.00021239913621684536,5,1,0.521425,0.5110606334374436,0.98995,0.6741117788256924
1.0,0.00021239913621684536,5,2,0.585975,0.5530660741289387,0.89605,0.6839684750873042
1.0,0.00021239913621684536,5,3,0.630325,0.6303706297204021,0.63015,0.6302602955517216
1.0,0.00021239913621684536,5,4,0.587675,0.737569435035903,0.2722,0.39764800409042766
1.0,0.00021239913621684536,5,5,0.519325,0.8435555555555555,0.04745,0.08984615384615384
